system   D            wsystem.c:583  maybe_parent_dir                 [   0.00079] Also searching C:\Data\User\Documents\Visual Studio 2012\Projects\C++\Allegro\VectorAsteroids\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00142] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00147] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01881] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:695  _al_d3d_init_display             [   0.04286] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.04294] Allegro version: 5.0.8
dtor     D               dtor.c:184  _al_register_destructor          [   0.04317] added dtor for object 00D01690, func 56D51690
d3d      I         d3d_disp.cpp:1732 d3d_create_display_locked        [   0.04374] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1733 d3d_create_display_locked        [   0.04377] al_display=00D3C2E0
d3d      D         d3d_disp.cpp:1734 d3d_create_display_locked        [   0.04382] al_display->vt=00D3C218
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.05542] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.05551] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05555] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05557] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05560] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05562] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05565] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.05567] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05570] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.05572] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05575] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.05577] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05580] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.05583] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
